Term,Overlap,P_value,Adjusted_P_value,Old_P_value,Old_Adjusted_P_value,Odds_Ratio,Combined_Score,Genes
Hedgehog ligand biogenesis_Homo sapiens_R-HSA-5358346,10/64,4.006056318232401e-6,7.758564768222245e-5,0,0,6.2375249500998,77.51810917133902,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1
Influenza Viral RNA Transcription and Replication_Homo sapiens_R-HSA-168273,14/128,4.087577870938332e-6,7.81749267816956e-5,0,0,4.3662674650698605,54.17471668943237,RPL30;HSP90AA1;RPS5;RPLP1;RPL12;RPL13A;RPS25;RPS16;RPS15A;RPS29;RPL37A;POLR2I;POLR2K;RPS12
Signaling by Insulin receptor_Homo sapiens_R-HSA-74752,23/311,4.107059455032748e-6,7.757778970617413e-5,0,0,2.9522947673784263,36.61673112571154,DUSP4;PDGFRB;PSMD10;ATP6V0E1;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;RRAGA;PSMD7;PSMB5;DUSP10;RRAGC;UBB;PSMA2;PSMB3;RHEB;PSMB1;FGF18;PSMD1;ATP6V1D;ATP6V1F
Formation of a pool of free 40S subunits_Homo sapiens_R-HSA-72689,12/96,4.9593809509937594e-006,9.253479091488356e-5,0,0,4.990019960079841,60.94924966708596,RPS25;RPL30;RPS16;RPS15A;RPS29;RPLP1;RPS5;RPL12;RPL37A;EIF3J;RPL13A;RPS12
APC/C:Cdc20 mediated degradation of Securin_Homo sapiens_R-HSA-174154,10/66,5.335640298482326e-6,9.835577899611997e-5,0,0,6.048509042521019,73.43556318848684,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1
Synthesis of DNA_Homo sapiens_R-HSA-69239,12/97,5.532914164022103e-6,1.0077807941611687e-4,0,0,4.938576455336749,59.78046006607473,PSMD10;PSMB7;PSMD7;PCNA;PSMB5;PSMD14;UBB;PSMA2;PSMB3;RPA3;PSMB1;PSMD1
G2/M Checkpoints_Homo sapiens_R-HSA-69481,15/150,5.702422896879309e-6,1.0264361214382756e-4,0,0,3.9920159680638725,48.20207346831267,PSMD10;PSMD14;HIST1H2BK;PSMB7;CCNB1;PSMD7;PSMB5;UBB;PSMA2;PSMB3;RPA3;PSMB1;PSMD1;RAD1;HIST1H2BD
Assembly of the pre-replicative complex_Homo sapiens_R-HSA-68867,10/67,6.13296735183431e-6,1.0910976800356389e-4,0,0,5.9582327881550325,71.50970807456372,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1
DNA Replication Pre-Initiation_Homo sapiens_R-HSA-69002,11/82,6.146322157449178e-6,1.0809049311376142e-4,0,0,5.355143371793,64.25988192411874,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;RPA3;PSMB1;PSMD1
M/G1 Transition_Homo sapiens_R-HSA-68874,11/82,6.146322157449178e-6,1.0686219205565048e-4,0,0,5.355143371793,64.25988192411874,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;RPA3;PSMB1;PSMD1
CLEC7A (Dectin-1) signaling_Homo sapiens_R-HSA-5607764,12/99,6.8572307762195865e-6,1.1788273132152772e-4,0,0,4.838807234016815,57.534419039070315,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;NFKB1;SKP1
Downstream TCR signaling_Homo sapiens_R-HSA-202424,12/99,6.8572307762195865e-6,1.1657292319573296e-4,0,0,4.838807234016815,57.534419039070315,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;NFKB1;SKP1
Hedgehog 'off' state_Homo sapiens_R-HSA-5610787,12/99,6.8572307762195865e-6,1.1529190206171393e-4,0,0,4.838807234016815,57.534419039070315,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;SKP1;RBX1
Downstream signaling events of B Cell Receptor (BCR)_Homo sapiens_R-HSA-1168372,17/192,7.221445138004382e-6,1.2009577240376853e-4,0,0,3.5345974717232207,41.84417476442764,PDGFRB;PSMD10;PSMD14;PDGFA;NFKB1;PSMB7;PPP2CB;PSMD7;PSMB5;UBB;PSMA2;PSMB3;FGF18;AGO2;PSMB1;PSMD1;SKP1
The citric acid (TCA) cycle and respiratory electron transport_Homo sapiens_R-HSA-1428517,15/153,7.271923327252187e-6,1.1963486764189083e-4,0,0,3.913741145160659,46.30538822238605,NDUFA6;COX16;NDUFB11;NDUFA2;NDUFA1;UQCR10;COX5B;LDHA;MPC2;NDUFAF4;NDUFS5;UCP2;NDUFAB1;CYCS;COX14
TP53 Regulates Metabolic Genes_Homo sapiens_R-HSA-5628897,11/84,7.794176322200825e-6,1.2686265715922617e-4,0,0,5.227639958178881,61.48820027250375,RRAGA;RRAGC;COX16;RHEB;PRDX1;TXNRD1;AGO2;CYCS;COX14;TXN;COX5B
Viral mRNA Translation_Homo sapiens_R-HSA-192823,11/84,7.794176322200825e-6,1.2552726076807644e-4,0,0,5.227639958178881,61.48820027250375,RPS25;RPL30;RPS16;RPS15A;RPS29;RPLP1;RPS5;RPL12;RPL37A;RPL13A;RPS12
Peptide chain elongation_Homo sapiens_R-HSA-156902,11/84,7.794176322200825e-6,1.2421968513507564e-4,0,0,5.227639958178881,61.48820027250375,RPS25;RPL30;RPS16;RPS15A;RPS29;RPLP1;RPS5;RPL12;RPL37A;RPL13A;RPS12
TCR signaling_Homo sapiens_R-HSA-202403,13/118,8.304564197488301e-6,1.309895177541969e-4,0,0,4.39798369362969,51.450715106359105,PSMD10;PSMD14;WAS;NFKB1;PSMB7;PSMD7;PSMB5;UBB;PSMA2;PSMB3;PSMB1;PSMD1;SKP1
Transcriptional Regulation by TP53_Homo sapiens_R-HSA-3700989,24/348,8.379043058903157e-6,1.3081567224614113e-4,0,0,2.753114460733705,32.18329367042236,PCNA;TP53RK;COX16;CCNH;TXNRD1;TXN;COX5B;PPP2CB;RRAGA;CCNB1;RRAGC;UBB;RHEB;PRDX1;PERP;RPA3;AGO2;CYCS;TCEB1;RAD1;COX14;POLR2I;ZNF385A;POLR2K
Hedgehog 'on' state_Homo sapiens_R-HSA-5632684,11/85,8.753590109260657e-6,1.3528275623402833e-4,0,0,5.1661383116120705,60.16508774402774,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;RBX1
Switching of origins to a post-replicative state_Homo sapiens_R-HSA-69052,10/70,9.174002261075915e-6,1.403622345944615e-4,0,0,5.70287995437696,66.14848540247316,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1
Orc1 removal from chromatin_Homo sapiens_R-HSA-68949,10/70,9.174002261075915e-6,1.3897250949946682e-4,0,0,5.70287995437696,66.14848540247316,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1
Regulation of mRNA stability by proteins that bind AU-rich elements_Homo sapiens_R-HSA-450531,11/86,9.81417354618594e-6,1.472126031927891e-4,0,0,5.106066935895651,58.88154495944243,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;DCP1A
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1_Homo sapiens_R-HSA-174178,10/71,1.0441883068270247e-5,1.5510758344129588e-4,0,0,5.622557701498412,64.48896922352826,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1
Cdc20:Phospho-APC/C mediated degradation of Cyclin A_Homo sapiens_R-HSA-174184,10/71,1.0441883068270247e-5,1.5361616436974495e-4,0,0,5.622557701498412,64.48896922352826,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1
Selenocysteine synthesis_Homo sapiens_R-HSA-2408557,11/87,1.0984778506594343e-5,1.6006391538180326e-4,0,0,5.047376511345126,57.63599246174105,RPS25;RPL30;RPS16;RPS15A;RPS29;RPLP1;RPS5;RPL12;RPL37A;RPL13A;RPS12
Eukaryotic Translation Termination_Homo sapiens_R-HSA-72764,11/87,1.0984778506594343e-5,1.585538784442391e-4,0,0,5.047376511345126,57.63599246174105,RPS25;RPL30;RPS16;RPS15A;RPS29;RPLP1;RPS5;RPL12;RPL37A;RPL13A;RPS12
Ribosomal scanning and start codon recognition_Homo sapiens_R-HSA-72702,9/57,1.1167579831822515e-5,1.5968595460456492e-4,0,0,6.3031831074692715,71.87201787053722,RPS25;RPS16;RPS15A;EIF5;RPS29;RPS5;EIF3J;EIF2S1;RPS12
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint_Homo sapiens_R-HSA-179419,10/72,1.1858041069044889e-5,1.679889151448026e-4,0,0,5.544466622310934,62.88813677800551,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1
Removal of licensing factors from origins_Homo sapiens_R-HSA-69300,10/72,1.1858041069044889e-5,1.664477324370521e-4,0,0,5.544466622310934,62.88813677800551,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1
DNA Replication_Homo sapiens_R-HSA-69306,12/105,1.2641212028701765e-5,1.7582776730830637e-4,0,0,4.562303963501568,51.45616554546175,PSMD10;PSMB7;PSMD7;PCNA;PSMB5;PSMD14;UBB;PSMA2;PSMB3;RPA3;PSMB1;PSMD1
C-type lectin receptors (CLRs)_Homo sapiens_R-HSA-5621481,13/123,1.308787768882474e-5,1.8040047625136806e-4,0,0,4.219203868685394,47.43998624043223,PSMD10;PSMD14;NFKB1;PSMB7;PSMD7;RPS6KA5;PSMB5;UBB;PSMA2;PSMB3;PSMB1;PSMD1;SKP1
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)_Homo sapiens_R-HSA-975956,11/89,1.3694532808301197e-5,1.870770999705431e-4,0,0,4.9339523200789435,55.252933489658425,RPS25;RPL30;RPS16;RPS15A;RPS29;RPLP1;RPS5;RPL12;RPL37A;RPL13A;RPS12
Cell Cycle Checkpoints_Homo sapiens_R-HSA-69620,16/182,1.4613410997635113e-5,1.9786299846355506e-4,0,0,3.509464587308899,39.07287276659887,PSMD10;PSMD14;HIST1H2BK;PSMB7;CCNB1;PSMD7;PSMB5;UBB;PSMA2;PSMB3;RPA3;PSMB1;PSMD1;RAD1;HIST1H2BD;ZNF385A
SRP-dependent cotranslational protein targeting to membrane_Homo sapiens_R-HSA-1799339,12/107,1.5346160254720276e-5,2.0596162447124582e-4,0,0,4.477027253903408,49.626258935565104,RPS25;RPL30;RPS16;RPS15A;RPS29;RPS5;RPLP1;RPL12;RPL37A;SRPRB;RPL13A;RPS12
Beta-catenin independent WNT signaling_Homo sapiens_R-HSA-3858494,14/144,1.607073017247113e-5,2.1381058403374637e-4,0,0,3.8811266356176537,42.84185883554078,PSMD10;PSMD14;CLTA;PSMB7;PSMD7;PSMB5;DAAM1;UBB;PSMA2;GNG4;PSMB3;AGO2;PSMB1;PSMD1
Nucleotide Excision Repair_Homo sapiens_R-HSA-5696398,12/108,1.687876749740072e-5,2.226251230260612e-4,0,0,4.435573297848747,48.74452910631651,COPS4;INO80B;COPS5;PCNA;UBB;CCNH;CETN2;RPA3;ZNF830;POLR2I;POLR2K;RBX1
Regulation of DNA replication_Homo sapiens_R-HSA-69304,10/75,1.7142969258336467e-5,2.2417729030132304e-4,0,0,5.322687957418497,58.41076473287718,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1
Metabolism of proteins_Homo sapiens_R-HSA-392499,50/1074,1.882110678724887e-5,2.4403638461432855e-4,0,0,1.858480432059531,20.221255099553083,ARF4;RPL30;RPLP1;CETN2;PIGX;EEF1B2;CHCHD2;RPS16;NANS;B2M;RPS12;CCT3;EIF5B;CCT2;H2AFZ;RPS5;TIMM23;RPL13A;DYNLL1;DPM1;RPL37A;PFDN2;HIST1H2BD;SLC25A6;PCNA;RPL12;HIST1H2BK;UAP1;TIMM10;TXN;GGA1;RPS15A;UBB;GNG4;CD59;CCT4;DNAJC19;TIMM8B;NOP58;GSN;EIF2B2;TRAPPC4;EIF2S1;RPS25;EIF5;CNIH1;RPS29;EIF3J;SRPRB;TOMM5
MAPK6/MAPK4 signaling_Homo sapiens_R-HSA-5687128,11/92,1.8842202666829337e-5,2.422568914306629e-4,0,0,4.773062570511152,51.92811125315568,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;AGO2;PSMD1
Transcription-Coupled Nucleotide Excision Repair (TC-NER)_Homo sapiens_R-HSA-6781827,10/76,1.9304408684161518e-5,0.00024613121072305936,0,0,5.2526525895577265,57.01847388858206,COPS4;PCNA;COPS5;UBB;CCNH;RPA3;ZNF830;POLR2I;POLR2K;RBX1
Selenoamino acid metabolism_Homo sapiens_R-HSA-2408522,12/111,2.2306100746863705e-5,2.82052348286789e-4,0,0,4.315692938447429,46.223878042059766,RPS25;RPL30;RPS16;RPS15A;RPS29;RPS5;RPLP1;RPL12;TXNRD1;RPL37A;RPL13A;RPS12
FCERI mediated NF-kB activation_Homo sapiens_R-HSA-2871837,12/111,2.2306100746863705e-5,2.7974044379263497e-4,0,0,4.315692938447429,46.223878042059766,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;NFKB1;SKP1
Signaling by the B Cell Receptor (BCR)_Homo sapiens_R-HSA-983705,18/233,2.541739169281713e-5,3.1616755520333503e-4,0,0,3.0839608336974123,32.62854279540287,PDGFRB;PSMD10;PSMD14;PDGFA;NFKB1;PSMB7;PPP2CB;PSMD7;PSMB5;UBB;PSMA2;PSMB3;AGO2;PSMB1;FGF18;BTK;PSMD1;SKP1
"Formation of the ternary complex, and subsequently, the 43S complex_Homo sapiens_R-HSA-72695",8/50,3.121395196042044e-5,3.851398911245425e-4,0,0,6.387225548902196,66.26520006313527,RPS25;RPS16;RPS15A;RPS29;RPS5;EIF3J;EIF2S1;RPS12
Metabolism_Homo sapiens_R-HSA-1430728,76/1908,3.2391769410762616e-5,3.9647525758773443e-4,0,0,1.5901111822476641,16.437943213063633,CDA;RPL30;RPLP1;MED19;MT1X;PYGL;PSMD7;RPS16;PNP;MPC2;PSMD1;CHAC2;RPS12;ARG2;HSP90AA1;RPS5;FAAH2;RPL13A;BPGM;BTD;PSMA2;NDUFS5;MED20;RPL37A;ALDH1A1;PLBD1;MT1G;SLC27A2;DCTPP1;FBP1;SLC25A6;MT1E;YAP1;PSMD10;OAT;PSMD14;COX16;NDUFB11;RPL12;TXN;UQCR10;AK6;COX5B;PSMB7;DGUOK;PPP2CB;LDHA;PSMB5;RPS15A;UBB;PSMB3;GNG4;TGS1;PSMB1;UCP2;MED31;COX14;KDSR;GSTM3;NQO1;GGT7;NDUFA6;GOT1;TXNRD1;NDUFA2;NDUFA1;NR1D1;ALDH4A1;RPS25;RPS29;NDUFAF4;NDUFAB1;CYCS;GCLM;GLA;RAN
IRS-mediated signalling_Homo sapiens_R-HSA-112399,20/284,3.492358229686632e-5,4.2407207074766245e-4,0,0,2.811278850749206,28.850322584221765,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;RRAGA;PSMD7;PSMB5;DUSP10;RRAGC;UBB;PSMA2;PSMB3;RHEB;PSMB1;FGF18;PSMD1
Attenuation phase_Homo sapiens_R-HSA-3371568,6/26,3.603356091631285e-5,4.3410510395243033e-4,0,0,9.21234454168586,94.2520479604403,HSP90AA1;HSPH1;DNAJB6;UBB;MRPL18;HSPA2
Insulin receptor signalling cascade_Homo sapiens_R-HSA-74751,20/287,4.050973234985004e-5,4.842178944943013e-4,0,0,2.781892660671688,28.13597420569542,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;RRAGA;PSMD7;PSMB5;DUSP10;RRAGC;UBB;PSMA2;PSMB3;RHEB;PSMB1;FGF18;PSMD1
IGF1R signaling cascade_Homo sapiens_R-HSA-2428924,20/288,4.254158213714705e-5,5.045629509289535e-4,0,0,2.772233311155467,27.902607443810663,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;RRAGA;PSMD7;PSMB5;DUSP10;RRAGC;UBB;PSMA2;PSMB3;RHEB;PSMB1;FGF18;PSMD1
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)_Homo sapiens_R-HSA-2404192,20/288,4.254158213714705e-5,5.006816974602692e-4,0,0,2.772233311155467,27.902607443810663,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;RRAGA;PSMD7;PSMB5;DUSP10;RRAGC;UBB;PSMA2;PSMB3;RHEB;PSMB1;FGF18;PSMD1
IRS-related events triggered by IGF1R_Homo sapiens_R-HSA-2428928,20/288,4.254158213714705e-5,4.968596997697328e-4,0,0,2.772233311155467,27.902607443810663,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;RRAGA;PSMD7;PSMB5;DUSP10;RRAGC;UBB;PSMA2;PSMB3;RHEB;PSMB1;FGF18;PSMD1
Formation of TC-NER Pre-Incision Complex_Homo sapiens_R-HSA-6781823,8/53,4.82519159326011e-5,5.592835710369673e-4,0,0,6.025684480096411,59.88973010971233,COPS4;COPS5;UBB;CCNH;ZNF830;POLR2I;POLR2K;RBX1
rRNA processing_Homo sapiens_R-HSA-72312,15/180,5.013997209809957e-5,5.767981752638523e-4,0,0,3.32667997338656,32.936433871304544,RPL30;NOP58;TRMT10C;IMP3;RPS5;RPLP1;RPL12;RPL13A;RPS25;RPS16;RPS15A;RPS29;RPL37A;NOP10;RPS12
Signalling to RAS_Homo sapiens_R-HSA-167044,18/246,5.1969565656481795e-5,5.933838466747549e-4,0,0,2.9209872937052723,28.815108183322607,DUSP4;PDGFRB;PSMD10;RALA;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
Signaling by Wnt_Homo sapiens_R-HSA-195721,20/295,5.9499463655896914e-5,6.743272547668317e-4,0,0,2.706451503772117,26.332536986068337,PSMD10;PSMD14;H2AFZ;HIST1H2BK;CLTA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DAAM1;UBB;PSMA2;PSMB3;GNG4;AGO2;PSMB1;PSMD1;HIST1H2BD;SKP1
Apoptosis_Homo sapiens_R-HSA-109581,14/163,6.396186393795096e-5,7.195709693019483e-4,0,0,3.4287253713432033,33.11196732779904,PSMD10;GSN;PSMD14;DYNLL1;PSMB7;PSMD7;PSMB5;UBB;PSMA2;PSMB3;PSMB1;PSMD1;CYCS;VIM
HSF1 activation_Homo sapiens_R-HSA-3371511,6/29,6.975380110490859e-5,7.79002304310293e-4,0,0,8.259343382201115,79.04636500202301,HSP90AA1;HSPH1;DNAJB6;UBB;MRPL18;RPA3
Signalling to ERKs_Homo sapiens_R-HSA-187687,18/253,7.467272943230439e-5,8.278933045755486e-4,0,0,2.8401694634446524,26.98841381359862,DUSP4;PDGFRB;PSMD10;RALA;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
Programmed Cell Death_Homo sapiens_R-HSA-5357801,14/166,7.795590510346895e-5,8.580757899878237e-4,0,0,3.366760454993627,31.847423452948952,PSMD10;GSN;PSMD14;DYNLL1;PSMB7;PSMD7;PSMB5;UBB;PSMA2;PSMB3;PSMB1;PSMD1;CYCS;VIM
Translation initiation complex formation_Homo sapiens_R-HSA-72649,8/57,8.241629182298702e-5,9.006923320655011e-4,0,0,5.6028294288615745,52.687480753825696,RPS25;RPS16;RPS15A;RPS29;RPS5;EIF3J;EIF2S1;RPS12
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S_Homo sapiens_R-HSA-72662",8/58,9.353434670416774e-5,0.0010149471663643732,0,0,5.50622892146741,51.08228698296911,RPS25;RPS16;RPS15A;RPS29;RPS5;EIF3J;EIF2S1;RPS12
GRB2 events in EGFR signaling_Homo sapiens_R-HSA-179812,17/235,9.592001147555942e-5,0.0010335043489972248,0,0,2.887841338599397,26.71829630430037,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
SHC1 events in EGFR signaling_Homo sapiens_R-HSA-180336,17/235,9.592001147555942e-5,0.001026277045857384,0,0,2.887841338599397,26.71829630430037,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
SOS-mediated signalling_Homo sapiens_R-HSA-112412,17/235,9.592001147555942e-5,0.0010191501219278189,0,0,2.887841338599397,26.71829630430037,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
SHC1 events in ERBB4 signaling_Homo sapiens_R-HSA-1250347,17/235,9.592001147555942e-5,0.0010121215003972821,0,0,2.887841338599397,26.71829630430037,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
RAF/MAP kinase cascade_Homo sapiens_R-HSA-5673001,17/235,9.592001147555942e-5,0.0010051891613534652,0,0,2.887841338599397,26.71829630430037,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
FRS-mediated FGFR2 signaling_Homo sapiens_R-HSA-5654700,17/236,1.0102687244717538e-4,0.001051504182613458,0,0,2.875604722757874,26.455920060815842,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
FRS-mediated FGFR4 signaling_Homo sapiens_R-HSA-5654712,17/236,1.0102687244717538e-4,0.0010443994246228266,0,0,2.875604722757874,26.455920060815842,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
FRS-mediated FGFR3 signaling_Homo sapiens_R-HSA-5654706,17/236,1.0102687244717538e-4,0.0010373900325112639,0,0,2.875604722757874,26.455920060815842,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
FRS-mediated FGFR1 signaling_Homo sapiens_R-HSA-5654693,17/236,1.0102687244717538e-4,0.0010304740989611888,0,0,2.875604722757874,26.455920060815842,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
DNA Repair_Homo sapiens_R-HSA-73894,19/285,1.1282375078278929e-4,0.0011431810509779311,0,0,2.6613439787092483,24.190774942060496,INO80B;PCNA;UBE2B;CCNH;CETN2;HIST1H2BK;RBX1;COPS4;APITD1;COPS5;UBB;RPA3;UBE2T;RAD1;ZNF830;KPNA2;POLR2I;HIST1H2BD;POLR2K
ARMS-mediated activation_Homo sapiens_R-HSA-170984,17/239,1.1780846151117112e-4,0.0011858351717900777,0,0,2.839509265986855,25.68747990506281,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
Signalling to p38 via RIT and RIN_Homo sapiens_R-HSA-187706,17/239,1.1780846151117112e-4,0.0011780846151117114,0,0,2.839509265986855,25.68747990506281,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
Frs2-mediated activation_Homo sapiens_R-HSA-170968,17/240,1.2392129533344296e-4,0.001231166115975115,0,0,2.8276779773785763,25.437406262773262,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
Diseases of signal transduction_Homo sapiens_R-HSA-5663202,19/288,1.2933551062576038e-4,0.0012766666532736347,0,0,2.6336216455976937,23.579079726088864,PDGFRB;PSMD10;HSP90AA1;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1;POLR2I;POLR2K;SKP1
MAPK1/MAPK3 signaling_Homo sapiens_R-HSA-5684996,17/241,1.3031034060574827e-4,0.001278043725171762,0,0,2.815944873738001,25.190293138038125,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
Prolonged ERK activation events_Homo sapiens_R-HSA-169893,17/242,1.3698609092564675e-4,0.0013349599943709525,0,0,2.804308737896109,24.9460962005687,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
NCAM signaling for neurite out-growth_Homo sapiens_R-HSA-375165,18/266,1.4087423921764714e-4,0.001364161936727849,0,0,2.7013641889154023,23.954733202537575,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;RPS6KA5;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
Signaling by Leptin_Homo sapiens_R-HSA-2586552,17/243,1.4395935409491903e-4,0.00138526925638507,0,0,2.7927683727195816,24.704771944974254,DUSP4;PDGFRB;PSMD10;PSMD14;PDGFA;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;DUSP10;UBB;PSMA2;PSMB3;PSMB1;FGF18;PSMD1
Gap-filling DNA repair synthesis and ligation in TC-NER_Homo sapiens_R-HSA-6782210,8/62,1.5117550695354102e-4,0.001445615785243236,0,0,5.150988345888868,45.31360040377989,PCNA;UBB;CCNH;RPA3;ZNF830;POLR2I;POLR2K;RBX1
TCF dependent signaling in response to WNT_Homo sapiens_R-HSA-201681,15/199,1.5539857089886478e-4,0.0014767690277966653,0,0,3.0090572623597027,26.387979768146163,PSMD10;PSMD14;H2AFZ;HIST1H2BK;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;UBB;PSMA2;PSMB3;PSMB1;PSMD1;HIST1H2BD
