"","Database_selected","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","link"
"178","Reactome_2016","RNA Polymerase II HIV Promoter Escape_Homo sapiens_R-HSA-167162","4/44",0.0238261,0.2047974,0,0,3.6363636,13.5889954,"POLR2A;POLR2B;GTF2H5;TAF1","http://www.reactome.org/download/index.html"
"179","Reactome_2016","RNA Polymerase II Promoter Escape_Homo sapiens_R-HSA-73776","4/44",0.0238261,0.2036532,0,0,3.6363636,13.5889954,"POLR2A;POLR2B;GTF2H5;TAF1","http://www.reactome.org/download/index.html"
"180","Reactome_2016","RNA Polymerase II Transcription Initiation And Promoter Clearance_Homo sapiens_R-HSA-76042","4/44",0.0238261,0.2025218,0,0,3.6363636,13.5889954,"POLR2A;POLR2B;GTF2H5;TAF1","http://www.reactome.org/download/index.html"
"181","Reactome_2016","RNA Polymerase II Transcription Initiation_Homo sapiens_R-HSA-75953","4/44",0.0238261,0.2014029,0,0,3.6363636,13.5889954,"POLR2A;POLR2B;GTF2H5;TAF1","http://www.reactome.org/download/index.html"
"182","Reactome_2016","RNA Polymerase II Transcription Pre-Initiation And Promoter Opening_Homo sapiens_R-HSA-73779","4/44",0.0238261,0.2002963,0,0,3.6363636,13.5889954,"POLR2A;POLR2B;GTF2H5;TAF1","http://www.reactome.org/download/index.html"
"183","Reactome_2016","HIV Transcription Initiation_Homo sapiens_R-HSA-167161","4/44",0.0238261,0.1992018,0,0,3.6363636,13.5889954,"POLR2A;POLR2B;GTF2H5;TAF1","http://www.reactome.org/download/index.html"
"184","Reactome_2016","Base-Excision Repair, AP Site Formation_Homo sapiens_R-HSA-73929","2/10",0.0245757,0.2043522,0,0,8,29.6479802,"NEIL1;MUTYH","http://www.reactome.org/download/index.html"
"185","Reactome_2016","Establishment of Sister Chromatid Cohesion_Homo sapiens_R-HSA-2468052","2/10",0.0245757,0.2032476,0,0,8,29.6479802,"STAG1;ESCO1","http://www.reactome.org/download/index.html"
"186","Reactome_2016","TRIF-mediated programmed cell death_Homo sapiens_R-HSA-2562578","2/10",0.0245757,0.2021549,0,0,8,29.6479802,"LY96;FADD","http://www.reactome.org/download/index.html"
"187","Reactome_2016","Macroautophagy_Homo sapiens_R-HSA-1632852","5/67",0.026026,0.2129397,0,0,2.9850746,10.8915247,"ATG16L1;ATG9A;TSC1;ULK1;LAMTOR1","http://www.reactome.org/download/index.html"
"188","Reactome_2016","FGFR2 alternative splicing_Homo sapiens_R-HSA-6803529","3/26",0.0263593,0.21452,0,0,4.6153846,16.7812306,"POLR2A;POLR2B;HNRNPH1","http://www.reactome.org/download/index.html"
"189","Reactome_2016","Oxidative Stress Induced Senescence_Homo sapiens_R-HSA-2559580","6/91",0.0265531,0.214954,0,0,2.6373626,9.5699526,"H2AFZ;SCMH1;TXN;MAP2K7;PHC3;TNRC6A","http://www.reactome.org/download/index.html"
"190","Reactome_2016","DAP12 signaling_Homo sapiens_R-HSA-2424491","15/344",0.0270305,0.2176671,0,0,1.744186,6.2978853,"PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PRKAR2A;PSMB1;RICTOR;B2M;TNRC6A","http://www.reactome.org/download/index.html"
"191","Reactome_2016","Chromatin organization_Homo sapiens_R-HSA-4839726","11/226",0.0272863,0.2185759,0,0,1.9469027,7.0115198,"NCOA2;KDM5B;SETD2;KDM3A;PRMT7;MTA1;TRRAP;H2AFZ;KANSL3;PHF21A;KDM7A","http://www.reactome.org/download/index.html"
"192","Reactome_2016","Chromatin modifying enzymes_Homo sapiens_R-HSA-3247509","11/226",0.0272863,0.2174375,0,0,1.9469027,7.0115198,"NCOA2;KDM5B;SETD2;KDM3A;PRMT7;MTA1;TRRAP;H2AFZ;KANSL3;PHF21A;KDM7A","http://www.reactome.org/download/index.html"
"193","Reactome_2016","Transport of Mature mRNA derived from an Intron-Containing Transcript_Homo sapiens_R-HSA-159236","5/68",0.0275352,0.2182842,0,0,2.9411765,10.5655599,"POM121;SARNP;CASC3;NUP98;THOC7","http://www.reactome.org/download/index.html"
"985","WikiPathways_2019_Human","TNF alpha Signaling Pathway WP231","6/92",0.0278295,0.8209699,0,0,2.6086957,9.3434584,"CYBA;TRAF1;TXN;FADD;MAP2K7;NFKB2","https://www.wikipathways.org/"
"194","Reactome_2016","mRNA Splicing_Homo sapiens_R-HSA-72172","8/144",0.0284754,0.2245737,0,0,2.2222222,7.9082584,"POLR2A;SNRNP70;HNRNPH1;POLR2B;PRPF3;CASC3;RBMX;RBM5","http://www.reactome.org/download/index.html"
"986","WikiPathways_2019_Human","AMP-activated Protein Kinase (AMPK) Signaling WP1403","5/69",0.0290989,0.8079232,0,0,2.8985507,10.2523302,"CRTC2;EEF2K;RPS6KB1;AKT2;TSC1","https://www.wikipathways.org/"
"195","Reactome_2016","EGFR downregulation_Homo sapiens_R-HSA-182971","3/27",0.0291179,0.2284631,0,0,4.4444444,15.7173503,"EPS15L1;ARHGEF7;AP2A2","http://www.reactome.org/download/index.html"
"196","Reactome_2016","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways_Homo sapiens_R-HSA-168643","4/47",0.0295432,0.230618,0,0,3.4042553,11.9894506,"PYCARD;CASP4;TXN;NLRP1","http://www.reactome.org/download/index.html"
"987","WikiPathways_2019_Human","Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms WP4534","4/47",0.0295432,0.7746888,0,0,3.4042553,11.9894506,"MAP4K1;LATS1;MAP4K5;YY1AP1","https://www.wikipathways.org/"
"786","KEGG_2019_Human","AMPK signaling pathway","7/120",0.0311688,0.8727254,0,0,2.3333333,8.0927906,"CRTC2;EEF2K;RPS6KB1;AKT2;TSC1;ULK1;RAB8A","https://www.kegg.jp/"
"988","WikiPathways_2019_Human","Exercise-induced Circadian Regulation WP410","4/48",0.0316138,0.7853522,0,0,3.3333333,11.5138766,"PSMA4;SUMO1;UCP3;CRY2","https://www.wikipathways.org/"
"197","Reactome_2016","The NLRP3 inflammasome_Homo sapiens_R-HSA-844456","2/12",0.0348785,0.2708841,0,0,6.6666667,22.3725568,"PYCARD;TXN","http://www.reactome.org/download/index.html"
"198","Reactome_2016","Vitamin B5 (pantothenate) metabolism_Homo sapiens_R-HSA-199220","2/12",0.0348785,0.269516,0,0,6.6666667,22.3725568,"SLC5A6;PPCS","http://www.reactome.org/download/index.html"
"787","KEGG_2019_Human","Lysosome","7/123",0.0349617,0.8973501,0,0,2.2764228,7.6339891,"HGSNAT;GNPTAB;AP1G2;ENTPD4;AP1G1;SLC11A2;AP3S1","https://www.kegg.jp/"
"199","Reactome_2016","Organelle biogenesis and maintenance_Homo sapiens_R-HSA-1852241","14/326",0.0356099,0.2737845,0,0,1.7177914,5.7290613,"GADD45GIP1;NCOA2;C2CD3;IFT172;MRPS11;MRPS23;CSNK1D;MRPL15;HAUS5;RAB11A;PCM1;INPP5E;FGFR1OP;RAB8A","http://www.reactome.org/download/index.html"
"200","Reactome_2016","DAP12 interactions_Homo sapiens_R-HSA-2172127","15/359",0.0372427,0.2849067,0,0,1.6713092,5.4991073,"PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PRKAR2A;PSMB1;RICTOR;B2M;TNRC6A","http://www.reactome.org/download/index.html"
"201","Reactome_2016","Transport of Mature Transcript to Cytoplasm_Homo sapiens_R-HSA-72202","5/74",0.0377513,0.2873606,0,0,2.7027027,8.8560422,"POM121;SARNP;CASC3;NUP98;THOC7","http://www.reactome.org/download/index.html"
"202","Reactome_2016","Downstream signaling of activated FGFR2_Homo sapiens_R-HSA-5654696","14/329",0.0379892,0.28774,0,0,1.7021277,5.5667293,"PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PRKAR2A;PSMB1;RICTOR;TNRC6A","http://www.reactome.org/download/index.html"
"203","Reactome_2016","Downstream signaling of activated FGFR4_Homo sapiens_R-HSA-5654716","14/329",0.0379892,0.2863225,0,0,1.7021277,5.5667293,"PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PRKAR2A;PSMB1;RICTOR;TNRC6A","http://www.reactome.org/download/index.html"
"204","Reactome_2016","Downstream signaling of activated FGFR3_Homo sapiens_R-HSA-5654708","14/329",0.0379892,0.284919,0,0,1.7021277,5.5667293,"PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PRKAR2A;PSMB1;RICTOR;TNRC6A","http://www.reactome.org/download/index.html"
"205","Reactome_2016","Transport of Ribonucleoproteins into the Host Nucleus_Homo sapiens_R-HSA-168271","3/30",0.0382688,0.2856156,0,0,4,13.052486,"POM121;NUP98;KPNA1","http://www.reactome.org/download/index.html"
"206","Reactome_2016","Signaling by FGFR4_Homo sapiens_R-HSA-5654743","14/332",0.0404803,0.3006543,0,0,1.686747,5.4092981,"PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PRKAR2A;PSMB1;RICTOR;TNRC6A","http://www.reactome.org/download/index.html"
"207","Reactome_2016","Downstream signaling of activated FGFR1_Homo sapiens_R-HSA-5654687","14/332",0.0404803,0.2992019,0,0,1.686747,5.4092981,"PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PRKAR2A;PSMB1;RICTOR;TNRC6A","http://www.reactome.org/download/index.html"
"208","Reactome_2016","Initiation of Nuclear Envelope Reformation_Homo sapiens_R-HSA-2995383","2/13",0.0405502,0.2982779,0,0,6.1538462,19.7243977,"ANKLE2;LEMD2","http://www.reactome.org/download/index.html"
"209","Reactome_2016","Nuclear Envelope Reassembly_Homo sapiens_R-HSA-2995410","2/13",0.0405502,0.2968507,0,0,6.1538462,19.7243977,"ANKLE2;LEMD2","http://www.reactome.org/download/index.html"
"989","WikiPathways_2019_Human","Translation Factors WP107","4/52",0.0407297,0.9612207,0,0,3.0769231,9.8486091,"EEF2K;EIF3I;EIF3G;EIF3B","https://www.wikipathways.org/"
"990","WikiPathways_2019_Human","Wnt Signaling Pathway WP363","4/52",0.0407297,0.9154483,0,0,3.0769231,9.8486091,"RYK;DVL3;TSC1;CSNK1D","https://www.wikipathways.org/"
"210","Reactome_2016","Fc epsilon receptor (FCERI) signaling_Homo sapiens_R-HSA-2454202","16/395",0.0408237,0.29743,0,0,1.6202532,5.1823668,"PSMD14;RASGRP2;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PSMB1;RICTOR;MAP2K7;TNRC6A;CARD11","http://www.reactome.org/download/index.html"
"211","Reactome_2016","Signaling by FGFR3_Homo sapiens_R-HSA-5654741","14/333",0.0413358,0.2997338,0,0,1.6816817,5.3578806,"PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PRKAR2A;PSMB1;RICTOR;TNRC6A","http://www.reactome.org/download/index.html"
"788","KEGG_2019_Human","Circadian rhythm","3/31",0.0416069,0.9857637,0,0,3.8709677,12.3076993,"CRY2;CSNK1D;RBX1","https://www.kegg.jp/"
"991","WikiPathways_2019_Human","Gastric Cancer Network 2 WP2363","3/31",0.0416069,0.8926574,0,0,3.8709677,12.3076993,"OTUD5;AHCTF1;S100A6","https://www.wikipathways.org/"
"212","Reactome_2016","Transcription-Coupled Nucleotide Excision Repair (TC-NER)_Homo sapiens_R-HSA-6781827","5/76",0.0416082,0.3002858,0,0,2.6315789,8.3669927,"AQR;POLR2A;POLR2B;GTF2H5;RBX1","http://www.reactome.org/download/index.html"
"789","KEGG_2019_Human","Autophagy","7/128",0.0419401,0.9226825,0,0,2.1875,6.9376838,"RPS6KB1;ATG16L1;AKT2;ATG9A;TSC1;ULK1;ATG2B","https://www.kegg.jp/"
"213","Reactome_2016","Signaling by FGFR1_Homo sapiens_R-HSA-5654736","14/336",0.0439795,0.3159088,0,0,1.6666667,5.206721,"PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PRKAR2A;PSMB1;RICTOR;TNRC6A","http://www.reactome.org/download/index.html"
"992","WikiPathways_2019_Human","Toll-like Receptor Signaling Pathway WP75","6/103",0.0445795,0.9148479,0,0,2.3300971,7.2477256,"AKT2;LY96;FADD;MAP2K7;PIK3R5;NFKB2","https://www.wikipathways.org/"
"214","Reactome_2016","Interleukin receptor SHC signaling_Homo sapiens_R-HSA-912526","11/245",0.0447726,0.3201033,0,0,1.7959184,5.5784069,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;INPP5D;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"215","Reactome_2016","Vpr-mediated nuclear import of PICs_Homo sapiens_R-HSA-180910","3/32",0.0450865,0.3208479,0,0,3.75,11.6218988,"POM121;NUP98;KPNA1","http://www.reactome.org/download/index.html"
"216","Reactome_2016","Assembly of the primary cilium_Homo sapiens_R-HSA-5617833","9/187",0.0459082,0.3251829,0,0,1.9251337,5.9315527,"PCM1;C2CD3;IFT172;INPP5E;FGFR1OP;CSNK1D;HAUS5;RAB8A;RAB11A","http://www.reactome.org/download/index.html"
"217","Reactome_2016","SUMOylation of transcription factors_Homo sapiens_R-HSA-3232118","2/14",0.0465414,0.3281491,0,0,5.7142857,17.5280743,"MTA1;SUMO1","http://www.reactome.org/download/index.html"
"218","Reactome_2016","Synthesis of PIPs at the early endosome membrane_Homo sapiens_R-HSA-1660516","2/14",0.0465414,0.3266438,0,0,5.7142857,17.5280743,"VAC14;PIKFYVE","http://www.reactome.org/download/index.html"
"219","Reactome_2016","PI3K Cascade_Homo sapiens_R-HSA-109704","5/79",0.0478245,0.3341166,0,0,2.5316456,7.6967507,"EEF2K;RPS6KB1;AKT2;TSC1;LAMTOR1","http://www.reactome.org/download/index.html"
"220","Reactome_2016","RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways_Homo sapiens_R-HSA-168928","5/79",0.0478245,0.3325979,0,0,2.5316456,7.6967507,"OTUD5;RNF216;NLRC5;FADD;NFKB2","http://www.reactome.org/download/index.html"
"993","WikiPathways_2019_Human","RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway WP2018","4/55",0.0484453,0.9527584,0,0,2.9090909,8.8067464,"AKT2;TRAF1;MAP2K7;NFKB2","https://www.wikipathways.org/"
"221","Reactome_2016","Downstream signal transduction_Homo sapiens_R-HSA-186763","14/341",0.0486465,0.3367832,0,0,1.6422287,4.9647466,"PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PRKAR2A;PSMB1;RICTOR;TNRC6A","http://www.reactome.org/download/index.html"
"222","Reactome_2016","Detoxification of Reactive Oxygen Species_Homo sapiens_R-HSA-3299685","3/33",0.0487056,0.3356739,0,0,3.6363636,10.9889481,"PRDX5;CYBA;TXN","http://www.reactome.org/download/index.html"
"223","Reactome_2016","Phospholipid metabolism_Homo sapiens_R-HSA-1483257","8/161",0.0496437,0.3406049,0,0,1.9875776,5.9684638,"VAC14;PIKFYVE;PNPLA7;INPP5D;INPP5E;DDHD1;MTMR7;PIK3R5","http://www.reactome.org/download/index.html"
"224","Reactome_2016","NGF signalling via TRKA from the plasma membrane_Homo sapiens_R-HSA-187037","15/374",0.0499848,0.3414137,0,0,1.6042781,4.8064769,"PSMD14;AP2A2;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PRKAR2A;PSMB1;RICTOR;TNRC6A","http://www.reactome.org/download/index.html"
"225","Reactome_2016","Negative regulators of RIG-I/MDA5 signaling_Homo sapiens_R-HSA-936440","3/34",0.0524624,0.3567442,0,0,3.5294118,10.4035023,"OTUD5;RNF216;NLRC5","http://www.reactome.org/download/index.html"
"226","Reactome_2016","ROS, RNS production in response to bacteria_Homo sapiens_R-HSA-1222556","3/34",0.0524624,0.3551657,0,0,3.5294118,10.4035023,"ATP6V0E1;CYBA;ATP6V1E1","http://www.reactome.org/download/index.html"
"994","WikiPathways_2019_Human","BDNF-TrkB Signaling WP3676","3/34",0.0524624,0.9904897,0,0,3.5294118,10.4035023,"EEF2K;RPS6KB1;TSC1","https://www.wikipathways.org/"
"1192","Panther_2016","Insulin/IGF pathway-protein kinase B signaling cascade_Homo sapiens_P00033","3/34",0.0524624,1,0,0,3.5294118,10.4035023,"AKT2;TSC1;PIK3R5","http://www.pantherdb.org/pathway/"
"227","Reactome_2016","Interleukin-2 signaling_Homo sapiens_R-HSA-451927","11/252",0.0528077,0.3559288,0,0,1.7460317,5.1352498,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;INPP5D;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"228","Reactome_2016","Interactions of Vpr with host cellular proteins_Homo sapiens_R-HSA-176033","3/35",0.0563546,0.3781688,0,0,3.4285714,9.8608868,"POM121;NUP98;KPNA1","http://www.reactome.org/download/index.html"
"790","KEGG_2019_Human","Ubiquitin mediated proteolysis","7/137",0.0566477,1,0,0,2.0437956,5.8675409,"UBE2F;HERC1;SMURF1;UBE2NL;UBR5;UBE4A;RBX1","https://www.kegg.jp/"
"229","Reactome_2016","VEGFA-VEGFR2 Pathway_Homo sapiens_R-HSA-4420097","13/320",0.0598414,0.3998137,0,0,1.625,4.5760936,"PSMD14;CYBA;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PSMB1;RICTOR","http://www.reactome.org/download/index.html"
"230","Reactome_2016","Translocation of GLUT4 to the plasma membrane_Homo sapiens_R-HSA-1445148","4/60",0.0629662,0.4188619,0,0,2.6666667,7.3737538,"AKT2;RALGAPA2;RAB8A;RAB11A","http://www.reactome.org/download/index.html"
"231","Reactome_2016","PPARA activates gene expression_Homo sapiens_R-HSA-1989781","6/113",0.0643178,0.4260008,0,0,2.1238938,5.8277934,"MED23;NCOA2;MED14;MED8;MED15;MED7","http://www.reactome.org/download/index.html"
"995","WikiPathways_2019_Human","Selenium Micronutrient Network WP15","5/86",0.0643541,1,0,0,2.3255814,6.3798949,"PRDX5;PRDX4;ALOX5AP;TXN;NFKB2","https://www.wikipathways.org/"
"232","Reactome_2016","Interleukin-3, 5 and GM-CSF signaling_Homo sapiens_R-HSA-512988","11/261",0.0644875,0.4252841,0,0,1.6858238,4.6213208,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;INPP5D;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"996","WikiPathways_2019_Human","Melatonin metabolism and effects WP3298","3/37",0.0645359,1,0,0,3.2432432,8.888218,"CRY2;CSNK1D;APOE","https://www.wikipathways.org/"
"233","Reactome_2016","Signaling by SCF-KIT_Homo sapiens_R-HSA-1433557","13/325",0.0658965,0.4327109,0,0,1.6,4.3514721,"PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PSMB1;RICTOR;TNRC6A","http://www.reactome.org/download/index.html"
"234","Reactome_2016","Ligand-dependent caspase activation_Homo sapiens_R-HSA-140534","2/17",0.0662416,0.4331181,0,0,4.7058824,12.773867,"LY96;FADD","http://www.reactome.org/download/index.html"
"235","Reactome_2016","Regulation of PLK1 Activity at G2/M Transition_Homo sapiens_R-HSA-2565942","5/87",0.0669466,0.4358648,0,0,2.2988506,6.2157716,"PCM1;FGFR1OP;CSNK1D;HAUS5;RAB8A","http://www.reactome.org/download/index.html"
"236","Reactome_2016","Signaling by VEGF_Homo sapiens_R-HSA-194138","13/328",0.0697175,0.4519821,0,0,1.5853659,4.222311,"PSMD14;CYBA;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PSMB1;RICTOR","http://www.reactome.org/download/index.html"
"237","Reactome_2016","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)_Homo sapiens_R-HSA-400206","6/116",0.0710973,0.4589823,0,0,2.0689655,5.4697376,"MED23;NCOA2;MED14;MED8;MED15;MED7","http://www.reactome.org/download/index.html"
"238","Reactome_2016","GRB2 events in EGFR signaling_Homo sapiens_R-HSA-179812","10/235",0.0718553,0.4619267,0,0,1.7021277,4.4818747,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"239","Reactome_2016","SHC1 events in EGFR signaling_Homo sapiens_R-HSA-180336","10/235",0.0718553,0.459994,0,0,1.7021277,4.4818747,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"240","Reactome_2016","SOS-mediated signalling_Homo sapiens_R-HSA-112412","10/235",0.0718553,0.4580773,0,0,1.7021277,4.4818747,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"241","Reactome_2016","SHC1 events in ERBB4 signaling_Homo sapiens_R-HSA-1250347","10/235",0.0718553,0.4561766,0,0,1.7021277,4.4818747,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"242","Reactome_2016","RAF/MAP kinase cascade_Homo sapiens_R-HSA-5673001","10/235",0.0718553,0.4542916,0,0,1.7021277,4.4818747,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"243","Reactome_2016","Signaling by ERBB4_Homo sapiens_R-HSA-1236394","13/330",0.0723439,0.4554989,0,0,1.5757576,4.1384494,"PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PSMB1;RICTOR;TNRC6A","http://www.reactome.org/download/index.html"
"244","Reactome_2016","NS1 Mediated Effects on Host Pathways_Homo sapiens_R-HSA-168276","3/39",0.0732295,0.459185,0,0,3.0769231,8.0435594,"POM121;NUP98;KPNA1","http://www.reactome.org/download/index.html"
"245","Reactome_2016","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha_Homo sapiens_R-HSA-1234176","2/18",0.073324,0.457901,0,0,4.4444444,11.6127423,"TCEB2;RBX1","http://www.reactome.org/download/index.html"
"1193","Panther_2016","Hedgehog signaling pathway_Homo sapiens_P00025","2/18",0.073324,1,0,0,4.4444444,11.6127423,"PRKAR2A;UBR5","http://www.pantherdb.org/pathway/"
"246","Reactome_2016","FRS-mediated FGFR2 signaling_Homo sapiens_R-HSA-5654700","10/236",0.0734537,0.4568459,0,0,1.6949153,4.4255942,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"247","Reactome_2016","FRS-mediated FGFR4 signaling_Homo sapiens_R-HSA-5654712","10/236",0.0734537,0.4549963,0,0,1.6949153,4.4255942,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"248","Reactome_2016","FRS-mediated FGFR3 signaling_Homo sapiens_R-HSA-5654706","10/236",0.0734537,0.4531617,0,0,1.6949153,4.4255942,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"249","Reactome_2016","FRS-mediated FGFR1 signaling_Homo sapiens_R-HSA-5654693","10/236",0.0734537,0.4513418,0,0,1.6949153,4.4255942,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"250","Reactome_2016","Signaling by PDGF_Homo sapiens_R-HSA-186797","14/364",0.0745404,0.4561875,0,0,1.5384615,3.9944823,"PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB4;PSMA4;PSMA2;PSMB3;AKT2;PRKAR2A;PSMB1;RICTOR;TNRC6A","http://www.reactome.org/download/index.html"
"251","Reactome_2016","ARMS-mediated activation_Homo sapiens_R-HSA-170984","10/239",0.078382,0.4777866,0,0,1.6736402,4.2613574,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"252","Reactome_2016","Signalling to p38 via RIT and RIN_Homo sapiens_R-HSA-187706","10/239",0.078382,0.4758907,0,0,1.6736402,4.2613574,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"791","KEGG_2019_Human","Retrograde endocannabinoid signaling","7/148",0.0784893,1,0,0,1.8918919,4.8144726,"NDUFA9;NDUFS8;NDUFB10;NDUFS7;NDUFB6;NDUFA1;NDUFC2","https://www.kegg.jp/"
"792","KEGG_2019_Human","NOD-like receptor signaling pathway","8/178",0.079029,1,0,0,1.7977528,4.5625891,"PYCARD;ATG16L1;CASP4;CYBA;TRPM7;TXN;NLRP1;FADD","https://www.kegg.jp/"
"253","Reactome_2016","Frs2-mediated activation_Homo sapiens_R-HSA-170968","10/240",0.0800692,0.4842132,0,0,1.6666667,4.2081058,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"254","Reactome_2016","Signaling by FGFR2 IIIa TM_Homo sapiens_R-HSA-8851708","2/19",0.0806362,0.4857218,0,0,4.2105263,10.6012967,"POLR2A;POLR2B","http://www.reactome.org/download/index.html"
"255","Reactome_2016","MAPK1/MAPK3 signaling_Homo sapiens_R-HSA-5684996","10/241",0.0817788,0.4906726,0,0,1.659751,4.1555813,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"256","Reactome_2016","Host Interactions with Influenza Factors_Homo sapiens_R-HSA-168253","3/41",0.0824136,0.4925497,0,0,2.9268293,7.3053816,"POM121;NUP98;KPNA1","http://www.reactome.org/download/index.html"
"257","Reactome_2016","Prolonged ERK activation events_Homo sapiens_R-HSA-169893","10/242",0.0835106,0.497164,0,0,1.6528926,4.1037723,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"258","Reactome_2016","Signaling by Leptin_Homo sapiens_R-HSA-2586552","10/243",0.0852646,0.5056391,0,0,1.6460905,4.0526674,"PSMD8;PSMA6;PSMB4;PSMA4;PSMD14;PSMA2;PSMB3;PSMB1;PSMA7;RBX1","http://www.reactome.org/download/index.html"
"997","WikiPathways_2019_Human","Histone Modifications WP2369","4/67",0.0866784,1,0,0,2.3880597,5.8401217,"SETD5;SETD2;SMYD5;PRDM2","https://www.wikipathways.org/"
"1194","Panther_2016","PI3 kinase pathway_Homo sapiens_P00048","3/42",0.0871822,1,0,0,2.8571429,6.9707279,"RPS6KB1;AKT2;PIK3R5","http://www.pantherdb.org/pathway/"
"793","KEGG_2019_Human","Fc epsilon RI signaling pathway","4/68",0.0903748,1,0,0,2.3529412,5.6559756,"AKT2;INPP5D;ALOX5AP;MAP2K7","https://www.kegg.jp/"
